method;subMethod;minimumFrequency;beamWidth;beamDepth;firstGroupSize;firstGroupDescriptors;firstGroupScore;qualityScore;executionTime;
LabelWise;kFirsts;10;1;1;2373;{0=0};0.06802011215258866;0.06802011215258866;0.0569406;
LabelWise;kRandoms;10;1;1;142;{7=2};0.045168554129403404;0.045168554129403404;0.2366054;
LabelWise;kBests;10;1;1;315;{1=0};0.06916416657328979;0.06916416657328979;0.1364529;
LabelWise;kFirsts;10;1;2;2373;{0=0};0.06802011215258866;0.06802011215258866;0.0621498;
LabelWise;kRandoms;10;1;2;278;{3=29};0.05445098854312694;0.05445098854312694;1.0088166;
LabelWise;kBests;10;1;2;315;{1=0};0.06916416657328979;0.06916416657328979;0.146297;
LabelWise;kFirsts;10;1;3;2373;{0=0};0.06802011215258866;0.06802011215258866;0.0534817;
LabelWise;kRandoms;10;1;3;1552;{8=1};0.03383004862087434;0.03383004862087434;0.0540478;
LabelWise;kBests;10;1;3;315;{1=0};0.06916416657328979;0.06916416657328979;0.1422796;
LabelWise;kFirsts;10;1;4;2373;{0=0};0.06802011215258866;0.06802011215258866;0.0617394;
LabelWise;kRandoms;10;1;4;142;{7=2};0.045168554129403404;0.045168554129403404;0.2447684;
LabelWise;kBests;10;1;4;315;{1=0};0.06916416657328979;0.06916416657328979;0.1756136;
LabelWise;kFirsts;10;1;5;2373;{0=0};0.06802011215258866;0.06802011215258866;0.0591754;
LabelWise;kRandoms;10;1;5;1552;{8=1};0.03383004862087434;0.03383004862087434;0.0558564;
LabelWise;kBests;10;1;5;315;{1=0};0.06916416657328979;0.06916416657328979;0.1342374;
LabelWise;kFirsts;10;2;1;2373;{0=0};0.06802011215258866;0.06633413665493822;0.0591362;
LabelWise;kRandoms;10;2;1;547;{6=14};0.04646623523790843;0.04326865967437526;0.9475214;
LabelWise;kBests;10;2;1;315;{1=0};0.06916416657328979;0.052339244969668366;0.1406155;
LabelWise;kFirsts;10;2;2;198;{0=1, 1=0};0.07013181713766088;0.06907596464512478;0.3101905;
LabelWise;kRandoms;10;2;2;15;{8=1, 3=14};0.04318896155269307;0.04303829371068241;1.1812424;
LabelWise;kBests;10;2;2;198;{0=1, 1=0};0.07013181713766088;0.06964799185547534;0.2081933;
LabelWise;kFirsts;10;2;3;198;{0=1, 1=0};0.07013181713766088;0.06907596464512478;0.3089788;
LabelWise;kRandoms;10;2;3;110;{4=2, 9=0};0.04766036180383786;0.046383087964355196;0.5006672;
LabelWise;kBests;10;2;3;198;{0=1, 1=0};0.07013181713766088;0.06964799185547534;0.2375785;
LabelWise;kFirsts;10;2;4;198;{0=1, 1=0};0.07013181713766088;0.06907596464512478;0.3334602;
LabelWise;kRandoms;10;2;4;259;{5=1, 7=3};0.047551358407775385;0.044977382996117;0.4012169;
LabelWise;kBests;10;2;4;198;{0=1, 1=0};0.07013181713766088;0.06964799185547534;0.2207047;
LabelWise;kFirsts;10;2;5;198;{0=1, 1=0};0.07013181713766088;0.06907596464512478;0.3298831;
LabelWise;kRandoms;10;2;5;110;{4=2, 9=0};0.04766036180383786;0.04497678403339137;0.5705754;
LabelWise;kBests;10;2;5;198;{0=1, 1=0};0.07013181713766088;0.06964799185547534;0.2663543;
LabelWise;kFirsts;10;3;1;2373;{0=0};0.06802011215258866;0.04422275776995881;0.0575388;
LabelWise;kRandoms;10;3;1;1742;{5=1};0.02649311214343789;0.015288475580332224;0.0553575;
LabelWise;kBests;10;3;1;315;{1=0};0.06916416657328979;0.045793184566947275;0.1848004;
LabelWise;kFirsts;10;3;2;198;{0=1, 1=0};0.07013181713766088;0.06910536528784644;0.4421816;
LabelWise;kRandoms;10;3;2;2373;{0=0};0.06802011215258866;0.06237308728433446;2.7555984;
LabelWise;kBests;10;3;2;198;{0=1, 1=0};0.07013181713766088;0.06171380922343617;0.2595395;
LabelWise;kFirsts;10;3;3;198;{0=1, 1=0};0.07013181713766088;0.06910536528784644;2.4524708;
LabelWise;kRandoms;10;3;3;12;{2=194};0.04809258060588278;0.04738944089818125;4.6778787;
LabelWise;kBests;10;3;3;198;{0=1, 1=0};0.07013181713766088;0.06171380922343617;1.0996592;
LabelWise;kFirsts;10;3;4;198;{0=1, 1=0};0.07013181713766088;0.06910536528784644;2.5080466;
LabelWise;kRandoms;10;3;4;2373;{0=0};0.06802011215258866;0.06403548636147631;9.5116017;
LabelWise;kBests;10;3;4;198;{0=1, 1=0};0.07013181713766088;0.06171380922343617;1.2203062;
LabelWise;kFirsts;10;3;5;198;{0=1, 1=0};0.07013181713766088;0.06910536528784644;2.6991567;
LabelWise;kRandoms;10;3;5;262;{9=1, 6=14};0.05719529686317902;0.05136978324491906;2.7098601;
LabelWise;kBests;10;3;5;198;{0=1, 1=0};0.07013181713766088;0.06171380922343617;1.0583136;
LabelWise;kFirsts;10;4;1;2373;{0=0};0.06802011215258866;0.04422275776995881;0.0693647;
LabelWise;kRandoms;10;4;1;2373;{0=0};0.06802011215258866;0.04422275776995881;0.0676097;
